"module name","license","repository"
"@inquirer/rawlist@4.1.11","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/search@3.2.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/select@4.4.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/type@3.0.10","MIT","https://github.com/SBoudrias/Inquirer.js"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/cliui@9.0.0","BlueOak-1.0.0","https://github.com/isaacs/cliui"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@joshwooding/vite-plugin-react-docgen-typescript@0.6.4","MIT","https://github.com/joshwooding/vite-plugin-react-docgen-typescript"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/source-map@0.3.11","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.9","MIT","https://github.com/jridgewell/trace-mapping"
"@jsonjoy.com/base64@1.1.2","Apache-2.0","https://github.com/jsonjoy-com/base64"
"@jsonjoy.com/base64@17.67.0","Apache-2.0","https://github.com/jsonjoy-com/base64"
"@jsonjoy.com/buffers@1.2.1","Apache-2.0","https://github.com/jsonjoy-com/buffers"
"@jsonjoy.com/buffers@17.67.0","Apache-2.0","https://github.com/jsonjoy-com/buffers"
"@jsonjoy.com/codegen@1.0.0","Apache-2.0","https://github.com/jsonjoy-com/codegen"
"@jsonjoy.com/codegen@17.67.0","Apache-2.0","https://github.com/jsonjoy-com/codegen"
"@jsonjoy.com/fs-core@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-fsa@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-node-builtins@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-node-to-fsa@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-node-utils@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-node@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-print@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/fs-snapshot@4.56.10","Apache-2.0","https://github.com/streamich/memfs"
"@jsonjoy.com/json-pack@1.21.0","Apache-2.0","https://github.com/jsonjoy-com/json-pack"
"@jsonjoy.com/json-pack@17.67.0","Apache-2.0","https://github.com/jsonjoy-com/json-pack"
"@jsonjoy.com/json-pointer@1.0.2","Apache-2.0","https://github.com/jsonjoy-com/json-pointer"
"@jsonjoy.com/json-pointer@17.67.0","Apache-2.0","https://github.com/jsonjoy-com/json-pointer"
"@jsonjoy.com/util@1.9.0","Apache-2.0","https://github.com/jsonjoy-com/util"
"@jsonjoy.com/util@17.67.0","Apache-2.0","https://github.com/jsonjoy-com/util"
"@juggle/resize-observer@3.4.0","Apache-2.0","https://github.com/juggle/resize-observer"
"@kwsites/file-exists@1.1.1","MIT","https://github.com/kwsites/file-exists"
"@kwsites/promise-deferred@1.1.1","MIT","https://github.com/kwsites/promise-deferred"
"@leichtgewicht/ip-codec@2.0.5","MIT","https://github.com/martinheidegger/ip-codec"
"@lit-labs/ssr-dom-shim@1.5.1","BSD-3-Clause","https://github.com/lit/lit"
"@lit/context@1.1.6","BSD-3-Clause","https://github.com/lit/lit"
"@lit/reactive-element@1.6.3","BSD-3-Clause","https://github.com/lit/lit"
"@lit/reactive-element@2.1.2","BSD-3-Clause","https://github.com/lit/lit"
"@lottiefiles/dotlottie-wc@0.5.3","MIT","https://github.com/LottieFiles/dotlottie-web"
"@lottiefiles/dotlottie-web@0.44.0","MIT","https://github.com/LottieFiles/dotlottie-web"
"@magic-works/i18n-codegen@0.6.1","MIT",""
"@marsidev/react-turnstile@1.4.2","MIT","https://github.com/marsidev/react-turnstile"
"@mermaid-js/parser@0.6.3","MIT","https://github.com/mermaid-js/mermaid"
"@mswjs/interceptors@0.41.2","MIT","https://github.com/mswjs/interceptors"
"@myriaddreamin/typst-ts-renderer@0.7.0-rc2","Apache-2.0",""
"@myriaddreamin/typst-ts-web-compiler@0.7.0-rc2","Apache-2.0",""
"@myriaddreamin/typst.ts@0.7.0-rc2","Apache-2.0",""
"@napi-rs/simple-git-linux-x64-gnu@0.1.22","MIT","https://github.com/Brooooooklyn/simple-git"
"@napi-rs/simple-git@0.1.22","MIT","https://github.com/Brooooooklyn/simple-git"
"@neoconfetti/react@1.0.0","MIT","https://github.com/puruvj/neoconfetti"
"@noble/hashes@1.4.0","MIT","https://github.com/paulmillr/noble-hashes"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@nolyfill/array-flatten@1.0.44","MIT","https://github.com/SukkaW/nolyfill"
"@nolyfill/deep-equal@1.0.44","MIT","https://github.com/SukkaW/nolyfill"
"@nolyfill/is-core-module@1.0.39","MIT","https://github.com/SukkaW/nolyfill"
"@nolyfill/isarray@1.0.44","MIT","https://github.com/SukkaW/nolyfill"
"@nolyfill/safe-buffer@1.0.44","MIT","https://github.com/SukkaW/nolyfill"
"@nolyfill/safer-buffer@1.0.44","MIT","https://github.com/SukkaW/nolyfill"
"@nolyfill/side-channel@1.0.44","MIT","https://github.com/SukkaW/nolyfill"
"@open-draft/deferred-promise@2.2.0","MIT","https://github.com/open-draft/deferred-promise"
"@open-draft/logger@0.3.0","MIT","https://github.com/open-draft/logger"
"@open-draft/until@2.1.0","MIT","https://github.com/open-draft/until"
"@pdf-lib/standard-fonts@1.0.0","MIT","https://github.com/Hopding/standard-fonts"
"@pdf-lib/upng@1.0.1","MIT","https://github.com/Hopding/upng"
"@peculiar/asn1-cms@2.6.1","MIT",""
"@peculiar/asn1-csr@2.6.1","MIT",""
"@peculiar/asn1-ecc@2.6.1","MIT",""
"@peculiar/asn1-pfx@2.6.1","MIT",""
"@peculiar/asn1-pkcs8@2.6.1","MIT",""
"@peculiar/asn1-pkcs9@2.6.1","MIT","https://github.com/PeculiarVentures/asn1-schema"
"@peculiar/asn1-rsa@2.6.1","MIT",""
"@peculiar/asn1-schema@2.6.0","MIT",""
"@peculiar/asn1-x509-attr@2.6.1","MIT",""
"@peculiar/asn1-x509@2.6.1","MIT",""
"@peculiar/x509@1.14.3","MIT","https://github.com/PeculiarVentures/x509"
"@perfsee/bundle-analyzer@1.14.2","Apache-2.0","https://github.com/perfsee/perfsee"
"@perfsee/jsonr@1.14.2","Apache-2.0","https://github.com/perfsee/perfsee"
"@perfsee/plugin-utils@1.14.2","Apache-2.0","https://github.com/perfsee/perfsee"
"@perfsee/utils@1.14.2","Apache-2.0","https://github.com/perfsee/perfsee"
"@perfsee/webpack@1.14.2","Apache-2.0","https://github.com/perfsee/perfsee"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@preact/signals-core@1.13.0","MIT","https://github.com/preactjs/signals"
"@radix-ui/number@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-arrow@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-avatar@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collapsible@1.1.12","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collection@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-compose-refs@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context-menu@2.2.16","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dialog@1.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-direction@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dismissable-layer@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dropdown-menu@2.1.16","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-guards@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-scope@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-id@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-menu@2.1.16","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-popover@1.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-popper@1.2.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-portal@1.1.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-progress@1.1.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-radio-group@1.3.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-roving-focus@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-scroll-area@1.2.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-separator@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slider@1.3.6","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tabs@1.1.13","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toast@1.2.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toggle-group@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toggle@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toolbar@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tooltip@1.2.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-callback-ref@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-controllable-state@1.2.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-effect-event@0.0.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-escape-keydown@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-is-hydrated@0.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-layout-effect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-previous@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-size@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-visually-hidden@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-visually-hidden@1.2.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@remix-run/router@1.23.2","MIT","https://github.com/remix-run/react-router"
"@repeaterjs/repeater@3.0.6","MIT","https://github.com/repeaterjs/repeater"
"@rgba-image/common@0.1.13","MIT","https://github.com/rgba-image/common"
"@rgba-image/copy@0.1.3","MIT","https://github.com/rgba-image/copy"
"@rgba-image/create-image@0.1.1","MIT","https://github.com/rgba-image/create-image"
"@rgba-image/lanczos@0.1.1","MIT","https://github.com/rgba-image/lanczos"
"@rollup/pluginutils@5.3.0","MIT","https://github.com/rollup/plugins"
